Source,Target,Weight,Type
alcott_eightcousins,alcott_littlewomenpt1,4,undirected
alcott_eightcousins,alcott_littlewomenpt2,1,undirected
alcott_eightcousins,alcott_oldfashionedgirl,2,undirected
alcott_eightcousins,xxx,5,undirected
alcott_eightcousins,yyy,1,undirected
alcott_littlemen,alcott_littlewomenpt1,5,undirected
alcott_littlemen,alcott_littlewomenpt2,4,undirected
alcott_littlemen,alcott_oldfashionedgirl,4,undirected
alcott_littlewomenpt1,alcott_eightcousins,4,undirected
alcott_littlewomenpt1,alcott_littlemen,5,undirected
alcott_littlewomenpt1,alcott_littlewomenpt2,6,undirected
alcott_littlewomenpt1,alcott_oldfashionedgirl,1,undirected
alcott_littlewomenpt1,xxx,1,undirected
alcott_littlewomenpt2,alcott_eightcousins,1,undirected
alcott_littlewomenpt2,alcott_littlemen,4,undirected
alcott_littlewomenpt2,alcott_littlewomenpt1,6,undirected
alcott_littlewomenpt2,xxx,3,undirected
alcott_oldfashionedgirl,alcott_eightcousins,2,undirected
alcott_oldfashionedgirl,alcott_littlemen,4,undirected
alcott_oldfashionedgirl,alcott_littlewomenpt1,1,undirected
wilder_farmerboy,wilder_longwinter,3,undirected
wilder_farmerboy,wilder_plumcreek,1,undirected
wilder_farmerboy,wilder_prairie,2,undirected
wilder_longwinter,wilder_farmerboy,3,undirected
wilder_longwinter,wilder_plumcreek,4,undirected
wilder_longwinter,wilder_prairie,1,undirected
wilder_longwinter,wilder_silverlake,6,undirected
wilder_longwinter,yyy,3,undirected
wilder_plumcreek,wilder_farmerboy,1,undirected
wilder_plumcreek,wilder_longwinter,4,undirected
wilder_plumcreek,wilder_prairie,4,undirected
wilder_plumcreek,wilder_silverlake,5,undirected
wilder_prairie,wilder_farmerboy,2,undirected
wilder_prairie,wilder_longwinter,1,undirected
wilder_prairie,wilder_plumcreek,4,undirected
wilder_prairie,wilder_silverlake,2,undirected
wilder_silverlake,wilder_longwinter,6,undirected
wilder_silverlake,wilder_plumcreek,5,undirected
wilder_silverlake,wilder_prairie,2,undirected
wilder_silverlake,yyy,4,undirected
xxx,alcott_eightcousins,5,undirected
xxx,alcott_littlewomenpt1,1,undirected
xxx,alcott_littlewomenpt2,3,undirected
yyy,alcott_eightcousins,1,undirected
yyy,wilder_longwinter,3,undirected
yyy,wilder_silverlake,4,undirected
