Source,Target,Weight,Type
Anonymous_001,Anonymous_010,3,undirected
Anonymous_001,Anonymous_043,2,undirected
Anonymous_001,Anonymous_066,1,undirected
Anonymous_001,David_008,2,undirected
Anonymous_001,David_018,1,undirected
Anonymous_002,Anonymous_094,3,undirected
Anonymous_002,Anonymous_104,2,undirected
Anonymous_002,Anonymous_107,1,undirected
Anonymous_002,David_003,2,undirected
Anonymous_002,David_008,1,undirected
Anonymous_010,Anonymous_001,3,undirected
Anonymous_010,Anonymous_010,6,undirected
Anonymous_010,Anonymous_043,5,undirected
Anonymous_010,Anonymous_066,4,undirected
Anonymous_010,Anonymous_091,3,undirected
Anonymous_010,Anonymous_092,3,undirected
Anonymous_010,Anonymous_093,3,undirected
Anonymous_010,Anonymous_095,3,undirected
Anonymous_010,Anonymous_096,3,undirected
Anonymous_010,Anonymous_097,3,undirected
Anonymous_010,Anonymous_098,3,undirected
Anonymous_010,Anonymous_100,3,undirected
Anonymous_010,Anonymous_102,3,undirected
Anonymous_010,Anonymous_105,3,undirected
Anonymous_010,Anonymous_111,3,undirected
Anonymous_010,Anonymous_112,3,undirected
Anonymous_010,Anonymous_113,3,undirected
Anonymous_010,Anonymous_114,3,undirected
Anonymous_010,Anonymous_115,3,undirected
Anonymous_010,Anonymous_116,3,undirected
Anonymous_010,Anonymous_117,3,undirected
Anonymous_010,Anonymous_118,3,undirected
Anonymous_010,Anonymous_120,3,undirected
Anonymous_010,Anonymous_121,3,undirected
Anonymous_010,Anonymous_123,3,undirected
Anonymous_010,Anonymous_126,3,undirected
Anonymous_010,Anonymous_129,3,undirected
Anonymous_010,Anonymous_130,3,undirected
Anonymous_010,Anonymous_132,3,undirected
Anonymous_010,Anonymous_134,3,undirected
Anonymous_010,Anonymous_136,3,undirected
Anonymous_010,Anonymous_137,3,undirected
Anonymous_010,Anonymous_146,3,undirected
Anonymous_010,Anonymous_147,3,undirected
Anonymous_010,Anonymous_148,3,undirected
Anonymous_010,Anonymous_149,3,undirected
