Source,Target,Weight,Type
Anonymous_001,Anonymous_104,1,undirected
Anonymous_001,Anonymous_146,3,undirected
Anonymous_001,David_037,2,undirected
Anonymous_002,Anonymous_067,2,undirected
Anonymous_002,Asaph_073,1,undirected
Anonymous_002,Asaph_076,5,undirected
Anonymous_002,David_022,3,undirected
Anonymous_010,Anonymous_105,5,undirected
Anonymous_010,Anonymous_106,1,undirected
Anonymous_010,Anonymous_111,1,undirected
Anonymous_010,Anonymous_112,2,undirected
Anonymous_010,Asaph_073,2,undirected
Anonymous_010,Asaph_081,2,undirected
Anonymous_010,David_037,2,undirected
Anonymous_010,David_065,2,undirected
Anonymous_010,David_101,1,undirected
Anonymous_043,Anonymous_116,3,undirected
Anonymous_043,David_030,2,undirected
Anonymous_043,David_070,1,undirected
Anonymous_066,Anonymous_105,4,undirected
Anonymous_066,Anonymous_129,2,undirected
Anonymous_066,Anonymous_137,3,undirected
Anonymous_066,Asaph_076,1,undirected
Anonymous_066,Asaph_079,1,undirected
Anonymous_066,Asaph_080,2,undirected
Anonymous_066,Asaph_081,3,undirected
Anonymous_066,David_012,3,undirected
Anonymous_066,David_068,4,undirected
Anonymous_067,Anonymous_002,2,undirected
Anonymous_067,Asaph_079,3,undirected
Anonymous_067,David_025,1,undirected
Anonymous_071,Anonymous_102,2,undirected
Anonymous_071,David_021,3,undirected
Anonymous_071,David_022,1,undirected
Anonymous_071,David_031,3,undirected
Anonymous_091,Asaph_074,2,undirected
Anonymous_091,David_005,6,undirected
Anonymous_091,David_026,1,undirected
Anonymous_091,David_040,2,undirected
Anonymous_092,Anonymous_113,1,undirected
Anonymous_092,Anonymous_128,3,undirected
Anonymous_092,Anonymous_132,6,undirected
Anonymous_092,Asaph_083,5,undirected
Anonymous_092,David_009,4,undirected
Anonymous_092,David_015,3,undirected
Anonymous_092,David_028,3,undirected
Anonymous_092,David_054,1,undirected
Anonymous_092,David_144,1,undirected
Anonymous_093,Asaph_050,1,undirected
Anonymous_093,David_012,3,undirected
Anonymous_093,David_068,2,undirected
Anonymous_094,Anonymous_104,4,undirected
Anonymous_094,Anonymous_125,3,undirected
Anonymous_094,David_008,1,undirected
Anonymous_094,David_009,5,undirected
Anonymous_094,David_018,3,undirected
Anonymous_094,David_025,1,undirected
Anonymous_094,David_069,1,undirected
Anonymous_095,Anonymous_100,3,undirected
Anonymous_095,Anonymous_105,2,undirected
Anonymous_095,Anonymous_132,1,undirected
Anonymous_095,Anonymous_137,2,undirected
Anonymous_095,Asaph_078,3,undirected
Anonymous_095,David_024,1,undirected
Anonymous_096,Anonymous_097,5,undirected
Anonymous_096,Anonymous_098,2,undirected
Anonymous_096,Anonymous_099,1,undirected
Anonymous_096,Anonymous_113,3,undirected
Anonymous_096,Anonymous_134,3,undirected
Anonymous_096,Anonymous_135,3,undirected
Anonymous_096,Anonymous_148,5,undirected
Anonymous_096,Anonymous_149,1,undirected
Anonymous_096,David_024,2,undirected
Anonymous_096,David_029,1,undirected
Anonymous_096,David_124,2,undirected
Anonymous_097,Anonymous_096,5,undirected
Anonymous_097,Anonymous_098,1,undirected
Anonymous_097,Anonymous_147,6,undirected
Anonymous_097,Anonymous_148,1,undirected
Anonymous_097,Asaph_082,3,undirected
Anonymous_097,David_007,4,undirected
Anonymous_097,David_033,1,undirected
Anonymous_097,David_034,2,undirected
Anonymous_097,David_058,2,undirected
Anonymous_098,Anonymous_096,2,undirected
Anonymous_098,Anonymous_097,1,undirected
Anonymous_098,David_034,6,undirected
Anonymous_098,David_124,3,undirected
Anonymous_099,Anonymous_096,1,undirected
Anonymous_099,Anonymous_146,3,undirected
Anonymous_099,David_034,2,undirected
Anonymous_100,Anonymous_095,3,undirected
Anonymous_100,Anonymous_132,1,undirected
Anonymous_100,David_034,2,undirected
Anonymous_102,Anonymous_071,2,undirected
Anonymous_102,Asaph_073,4,undirected
Anonymous_102,David_005,1,undirected
Anonymous_102,David_017,1,undirected
Anonymous_102,David_022,2,undirected
Anonymous_102,David_057,2,undirected
Anonymous_102,David_063,3,undirected
Anonymous_102,David_109,2,undirected
Anonymous_102,David_143,1,undirected
Anonymous_104,Anonymous_001,1,undirected
Anonymous_104,Anonymous_094,4,undirected
Anonymous_104,Anonymous_106,3,undirected
Anonymous_104,Anonymous_146,3,undirected
Anonymous_104,David_014,1,undirected
Anonymous_104,David_053,2,undirected
Anonymous_104,David_068,2,undirected
Anonymous_104,David_133,1,undirected
Anonymous_105,Anonymous_010,5,undirected
Anonymous_105,Anonymous_066,4,undirected
Anonymous_105,Anonymous_095,2,undirected
Anonymous_105,Anonymous_106,1,undirected
Anonymous_105,Anonymous_112,1,undirected
Anonymous_105,Anonymous_129,3,undirected
Anonymous_105,Anonymous_137,1,undirected
Anonymous_105,Anonymous_147,1,undirected
Anonymous_105,Asaph_078,6,undirected
Anonymous_105,David_037,1,undirected
Anonymous_105,David_065,1,undirected
Anonymous_106,Anonymous_010,1,undirected
Anonymous_106,Anonymous_104,3,undirected
Anonymous_106,Anonymous_105,1,undirected
Anonymous_106,Anonymous_107,5,undirected
Anonymous_106,Anonymous_111,3,undirected
Anonymous_106,Anonymous_149,2,undirected
Anonymous_106,Asaph_078,5,undirected
Anonymous_106,David_018,2,undirected
Anonymous_106,David_033,2,undirected
Anonymous_107,Anonymous_106,5,undirected
Anonymous_107,David_019,3,undirected
Anonymous_107,David_034,2,undirected
Anonymous_107,David_144,5,undirected
Anonymous_111,Anonymous_010,1,undirected
Anonymous_111,Anonymous_106,3,undirected
Anonymous_111,Anonymous_136,3,undirected
Anonymous_111,Anonymous_149,2,undirected
Anonymous_111,David_133,2,undirected
Anonymous_111,David_145,1,undirected
Anonymous_112,Anonymous_010,2,undirected
Anonymous_112,Anonymous_105,1,undirected
Anonymous_112,David_037,6,undirected
Anonymous_113,Anonymous_092,1,undirected
Anonymous_113,Anonymous_096,3,undirected
Anonymous_113,Anonymous_125,1,undirected
Anonymous_113,Anonymous_146,2,undirected
Anonymous_114,David_005,3,undirected
Anonymous_114,David_059,1,undirected
Anonymous_114,David_068,2,undirected
Anonymous_115,Anonymous_135,3,undirected
Anonymous_115,Anonymous_146,2,undirected
Anonymous_115,Asaph_073,1,undirected
Anonymous_116,Anonymous_043,3,undirected
Anonymous_116,Anonymous_118,2,undirected
Anonymous_116,Anonymous_120,2,undirected
Anonymous_116,David_004,2,undirected
Anonymous_116,David_006,2,undirected
Anonymous_116,David_030,3,undirected
Anonymous_116,David_038,4,undirected
Anonymous_116,David_059,1,undirected
Anonymous_116,David_069,3,undirected
Anonymous_116,David_086,2,undirected
Anonymous_116,David_139,1,undirected
Anonymous_116,David_142,2,undirected
Anonymous_117,Anonymous_148,3,undirected
Anonymous_117,Anonymous_150,1,undirected
Anonymous_117,David_131,2,undirected
Anonymous_117,David_145,1,undirected
Anonymous_118,Anonymous_116,2,undirected
Anonymous_118,Anonymous_123,2,undirected
Anonymous_118,David_026,1,undirected
Anonymous_118,David_059,3,undirected
Anonymous_119,David_021,1,undirected
Anonymous_119,David_031,1,undirected
Anonymous_119,David_139,2,undirected
Anonymous_119,David_143,6,undirected
Anonymous_120,Anonymous_116,2,undirected
Anonymous_120,Anonymous_121,3,undirected
Anonymous_120,David_068,3,undirected
Anonymous_120,David_069,1,undirected
Anonymous_121,Anonymous_120,3,undirected
Anonymous_121,Anonymous_146,1,undirected
Anonymous_121,David_110,2,undirected
Anonymous_123,Anonymous_118,2,undirected
Anonymous_123,Anonymous_126,6,undirected
Anonymous_123,Anonymous_132,1,undirected
Anonymous_125,Anonymous_094,3,undirected
Anonymous_125,Anonymous_113,1,undirected
Anonymous_125,Anonymous_146,2,undirected
Anonymous_126,Anonymous_123,6,undirected
Anonymous_126,Anonymous_132,2,undirected
Anonymous_126,Anonymous_150,2,undirected
Anonymous_126,David_054,1,undirected
Anonymous_128,Anonymous_092,3,undirected
Anonymous_128,David_063,2,undirected
Anonymous_128,David_138,1,undirected
Anonymous_129,Anonymous_066,2,undirected
Anonymous_129,Anonymous_105,3,undirected
Anonymous_129,David_034,1,undirected
Anonymous_130,David_030,1,undirected
Anonymous_130,David_055,3,undirected
Anonymous_130,David_131,2,undirected
Anonymous_130,David_139,2,undirected
Anonymous_132,Anonymous_092,6,undirected
Anonymous_132,Anonymous_095,1,undirected
Anonymous_132,Anonymous_100,1,undirected
Anonymous_132,Anonymous_123,1,undirected
Anonymous_132,Anonymous_126,2,undirected
Anonymous_132,Asaph_080,1,undirected
Anonymous_132,David_005,1,undirected
Anonymous_132,David_015,2,undirected
Anonymous_132,David_020,3,undirected
Anonymous_132,David_028,2,undirected
Anonymous_132,David_054,2,undirected
Anonymous_132,David_060,5,undirected
Anonymous_132,David_108,1,undirected
Anonymous_132,David_122,2,undirected
Anonymous_134,Anonymous_096,3,undirected
Anonymous_134,Anonymous_146,1,undirected
Anonymous_134,David_029,2,undirected
Anonymous_135,Anonymous_096,3,undirected
Anonymous_135,Anonymous_115,3,undirected
Anonymous_135,Anonymous_146,2,undirected
Anonymous_135,Anonymous_148,5,undirected
Anonymous_135,Asaph_078,1,undirected
Anonymous_136,Anonymous_111,3,undirected
Anonymous_136,Anonymous_149,1,undirected
Anonymous_136,David_145,2,undirected
Anonymous_137,Anonymous_066,3,undirected
Anonymous_137,Anonymous_095,2,undirected
Anonymous_137,Anonymous_105,1,undirected
Anonymous_137,David_122,1,undirected
Anonymous_146,Anonymous_001,3,undirected
Anonymous_146,Anonymous_099,3,undirected
Anonymous_146,Anonymous_104,3,undirected
Anonymous_146,Anonymous_113,2,undirected
Anonymous_146,Anonymous_115,2,undirected
Anonymous_146,Anonymous_121,1,undirected
Anonymous_146,Anonymous_125,2,undirected
Anonymous_146,Anonymous_134,1,undirected
Anonymous_146,Anonymous_135,2,undirected
Anonymous_146,David_068,1,undirected
Anonymous_147,Anonymous_097,6,undirected
Anonymous_147,Anonymous_105,1,undirected
Anonymous_147,Asaph_075,1,undirected
Anonymous_147,David_033,5,undirected
Anonymous_147,David_064,2,undirected
Anonymous_147,David_103,2,undirected
Anonymous_147,David_110,2,undirected
Anonymous_148,Anonymous_096,5,undirected
Anonymous_148,Anonymous_097,1,undirected
Anonymous_148,Anonymous_117,3,undirected
Anonymous_148,Anonymous_135,5,undirected
Anonymous_149,Anonymous_096,1,undirected
Anonymous_149,Anonymous_106,2,undirected
Anonymous_149,Anonymous_111,2,undirected
Anonymous_149,Anonymous_136,1,undirected
Anonymous_149,Asaph_078,3,undirected
Anonymous_149,David_029,3,undirected
Anonymous_150,Anonymous_117,1,undirected
Anonymous_150,Anonymous_126,2,undirected
Anonymous_150,David_029,3,undirected
Asaph_050,Anonymous_093,1,undirected
Asaph_050,Asaph_073,2,undirected
Asaph_050,Asaph_074,3,undirected
Asaph_050,Asaph_077,4,undirected
Asaph_050,David_030,2,undirected
Asaph_050,David_061,1,undirected
Asaph_050,David_138,3,undirected
Asaph_050,David_139,5,undirected
Asaph_073,Anonymous_002,1,undirected
Asaph_073,Anonymous_010,2,undirected
Asaph_073,Anonymous_102,4,undirected
Asaph_073,Anonymous_115,1,undirected
Asaph_073,Asaph_050,2,undirected
Asaph_073,Asaph_075,3,undirected
Asaph_073,David_026,5,undirected
Asaph_073,David_041,6,undirected
Asaph_073,David_055,1,undirected
Asaph_073,David_059,2,undirected
Asaph_073,David_062,3,undirected
Asaph_073,David_101,3,undirected
Asaph_073,David_110,1,undirected
Asaph_074,Anonymous_091,2,undirected
Asaph_074,Asaph_050,3,undirected
Asaph_074,David_139,1,undirected
Asaph_075,Anonymous_147,1,undirected
Asaph_075,Asaph_073,3,undirected
Asaph_075,Asaph_076,2,undirected
Asaph_076,Anonymous_002,5,undirected
Asaph_076,Anonymous_066,1,undirected
Asaph_076,Asaph_075,2,undirected
Asaph_076,David_012,3,undirected
Asaph_076,David_061,3,undirected
Asaph_077,Asaph_050,4,undirected
Asaph_077,David_068,2,undirected
Asaph_077,David_108,1,undirected
Asaph_078,Anonymous_095,3,undirected
Asaph_078,Anonymous_105,6,undirected
Asaph_078,Anonymous_106,5,undirected
Asaph_078,Anonymous_135,1,undirected
Asaph_078,Anonymous_149,3,undirected
Asaph_078,Asaph_082,2,undirected
Asaph_078,Asaph_083,1,undirected
Asaph_078,David_059,1,undirected
Asaph_079,Anonymous_066,1,undirected
Asaph_079,Anonymous_067,3,undirected
Asaph_079,David_012,2,undirected
Asaph_079,David_139,3,undirected
Asaph_080,Anonymous_066,2,undirected
Asaph_080,Anonymous_132,1,undirected
Asaph_080,David_060,4,undirected
Asaph_081,Anonymous_010,2,undirected
Asaph_081,Anonymous_066,3,undirected
Asaph_081,David_108,3,undirected
Asaph_082,Anonymous_097,3,undirected
Asaph_082,Asaph_078,2,undirected
Asaph_082,Asaph_083,1,undirected
Asaph_082,David_058,1,undirected
Asaph_083,Anonymous_092,5,undirected
Asaph_083,Asaph_078,1,undirected
Asaph_083,Asaph_082,1,undirected
Asaph_083,David_015,1,undirected
Asaph_083,David_020,1,undirected
Asaph_083,David_057,1,undirected
Asaph_083,David_059,5,undirected
Asaph_083,David_145,3,undirected
David_003,David_055,3,undirected
David_003,David_059,1,undirected
David_003,David_069,2,undirected
David_004,Anonymous_116,2,undirected
David_004,David_052,6,undirected
David_004,David_062,2,undirected
David_004,David_109,1,undirected
David_005,Anonymous_091,6,undirected
David_005,Anonymous_102,1,undirected
David_005,Anonymous_114,3,undirected
David_005,Anonymous_132,1,undirected
David_005,David_036,3,undirected
David_005,David_059,2,undirected
David_005,David_065,3,undirected
David_005,David_145,2,undirected
David_006,Anonymous_116,2,undirected
David_006,David_013,1,undirected
David_006,David_031,4,undirected
David_006,David_039,1,undirected
David_007,Anonymous_097,4,undirected
David_007,David_011,3,undirected
David_007,David_014,2,undirected
David_007,David_022,1,undirected
David_007,David_034,2,undirected
David_008,Anonymous_094,1,undirected
David_008,David_019,2,undirected
David_008,David_031,3,undirected
David_009,Anonymous_092,4,undirected
David_009,Anonymous_094,5,undirected
David_009,David_020,2,undirected
David_009,David_028,1,undirected
David_009,David_059,1,undirected
David_009,David_122,3,undirected
David_011,David_007,3,undirected
David_011,David_064,1,undirected
David_011,David_144,2,undirected
David_012,Anonymous_066,3,undirected
David_012,Anonymous_093,3,undirected
David_012,Asaph_076,3,undirected
David_012,Asaph_079,2,undirected
David_012,David_068,6,undirected
David_013,David_006,1,undirected
David_013,David_023,2,undirected
David_013,David_031,3,undirected
David_014,Anonymous_104,1,undirected
David_014,David_007,2,undirected
David_014,David_053,6,undirected
David_015,Anonymous_092,3,undirected
David_015,Anonymous_132,2,undirected
David_015,Asaph_083,1,undirected
David_016,David_026,2,undirected
David_016,David_039,3,undirected
David_016,David_069,1,undirected
David_017,Anonymous_102,1,undirected
David_017,David_026,2,undirected
David_017,David_143,3,undirected
David_018,Anonymous_094,3,undirected
David_018,Anonymous_106,2,undirected
David_018,David_055,1,undirected
David_019,Anonymous_107,3,undirected
David_019,David_008,2,undirected
David_019,David_035,1,undirected
David_019,David_144,4,undirected
David_020,Anonymous_132,3,undirected
David_020,Asaph_083,1,undirected
David_020,David_009,2,undirected
David_021,Anonymous_071,3,undirected
David_021,Anonymous_119,1,undirected
David_021,David_109,2,undirected
David_022,Anonymous_002,3,undirected
David_022,Anonymous_071,1,undirected
David_022,Anonymous_102,2,undirected
David_022,David_007,1,undirected
David_022,David_035,4,undirected
David_022,David_041,2,undirected
David_022,David_103,1,undirected
David_022,David_109,6,undirected
David_022,David_138,1,undirected
David_022,David_141,3,undirected
David_023,David_013,2,undirected
David_023,David_031,2,undirected
David_023,David_038,1,undirected
David_023,David_039,3,undirected
David_024,Anonymous_095,1,undirected
David_024,Anonymous_096,2,undirected
David_024,David_029,2,undirected
David_024,David_054,3,undirected
David_025,Anonymous_067,1,undirected
David_025,Anonymous_094,1,undirected
David_025,David_031,2,undirected
David_025,David_032,6,undirected
David_026,Anonymous_091,1,undirected
David_026,Anonymous_118,1,undirected
David_026,Asaph_073,5,undirected
David_026,David_016,2,undirected
David_026,David_017,2,undirected
David_026,David_056,1,undirected
